hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-008,329.6,339.0,VCL,VCL,VCB,,,,,"GREEN, GREY, COARSE GRAINED, POLYMICTIC VOLCANICLASTICS. ALT ASSEMBLAGE CHL>SIL>EPI+-MAG MATRIX SUPPORTED, POORLY SORTED, SET IN A ""ROCK FLOUR"" MATRIX. EPIDOTE OVERPRINTED OBSERVED. ""CRACKLED"" HBX OBSERVED FROM 336M TO 336.94M MONOMICTIC CLASTS FROM WALLROCK SET IN GYPSUM/AH VEINS. BLEBS OF PYRITE+CCP OBSERVED.",,,,,,,,,,,Lithology
AXE-23-008,376.7,388.78,VCL,VCL,,,,,,"GREEN TO GREY, POLYMICTIC, POORLY SORTED, MATRIX SUPPORTED. CLASTS RANGE SIZE FROM 2MM TO 3CM. CLASTS COMPOSED OF WHT-GREY QTZ, WHT PLAG, BLACK MAGNETITE, PINKISH KSPAR?, CHL SET IN A ROCK FLOUR MATRIX. ALT ASSEMBLAGE OF CHL>EPI>SER FG PYRITE ON EPIDOTE ALT MAINLY. CUT BY WHT MASSIVE GYPSUM VEINS/STOCKWORKS",,,,,,,,,,,Lithology
AXE-23-009,0.0,27.0,CAS,CAS,NC,,,,,CASING 27M PUSHING TO 39M,,,,,,,,,,,Lithology
AXE-23-010,0.0,90.0,CAS,CAS,,,,,,CASING 90M. NO CORE.,,,,,,,,,,,Lithology
AXE-23-010,645.25,648.0,FBX,FBX,FLT,FG,,,,"MED-DARK GREY CLAYEY SAND THAT IS PROBABLY FROM FAULTING. TOP ~80CM IS CLAY WITH SANDY ROCK FRAGMENTS IN IT, THE REST IS MOSTLY SANDY FRAGS WITH SOME CLAY. THE ROCK FRAGS LOOK LIKE THEY COULD BE THE SAME AS THE ANDESITE UNIT ABOVE BUT THEY LARGEST SIZE IS AROUND 0.3CM SO IT IS DIFFICULT TO TELL. SANDY FRAGMENTS COULD HAVE BEEN CAUSED BY THE DRILLING PROCESS AS THE DRILL WAS STRUGGLING TO DRILL THROUGH THIS UNIT.",,,,,,,,,,,Lithology
AXE-23-010,648.0,665.6,AND,AND,VCB,FG,XEN,PSBX,,THE SAME UNIT AS ABOVE THE SANDY FAULT ZONE. STILL VERY BROKEN UP WITH SOME FAULTING,,,,,,,,,,,Lithology
AXE-23-011,0.0,21.0,OVB,OVB,NC,,,,,"OVERBURDEN, NO CORE RECOVERED, BEDROCK HIT AT 21M",,,,,,,,,,,Lithology
AXE-23-012,0.0,9.0,CAS,CAS,NC,,,,,CASING 9,,,,,,,,,,,Lithology
AXE-23-013,0.0,9.0,OVB,OVB,NC,,,,,"OVERBURDEN, BEDROCK HIT AT 9M? CASING TO 9M",,,,,,,,,,,Lithology
AXE-23-014,0.0,9.0,OVB,OVB,NC,,,,,"OVERBURDEN, BEDROCK HIT AT 9M, NO CORE RECOVERED.",,,,,,,,,,,Lithology
AXE-23-014,370.67,377.07,MZN,MZN,INT,MG,SER,,,REPEAT OF MZN LITH,,,,,,,,,,,Lithology
AXE-23-014,415.67,416.36,MZN,MZN,INT,MG,SER,,,AND FLOW RICH IN MZN CLASTS (MZN CLASTS FORMING >70% OF THIS SECTION),,,,,,,,,,,Lithology
