,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-001,323.35,354.3,AND,AND,VCB,FG,XEN,,,"med-pale green volcanoclastic andesite. Rock is chaotically filled with many typed of lith clasts that are mostly sub-rounded and having compositions that could possibly include andesite, diorite, rhyolite, monzonite, and maybe others. An XRF scan on some black and light pink clasts showed that even though the clasts look to have different mafic-to-felsic compositions due to their colour, they have very high SiO2 content of around 80% while having low Fe and Mg which could be due to silicification of the entire unit. Clasts range in size from less than a cm to 10 or more cms. The matrix is fine grained andesite. There are a few small sections that seem to have a lower clast amount which could be a lull in volcanic activity, and also some small sections where the matrix looks like microdiorite.",323.35,336.5,PRO,3,Act+chl+/-ep,324.9,336.5,0.3,0,0
,,,,,,,,,,,336.5,354.3,PRO,3,Act+chl+ep,336.5,354.3,1.25,0.1,0
AXE-23-001,354.3,355.3,AND,AND,DYK,FG,AMG,,,"dark grey fine-grained andesite dyke. This dyke looks much different than the previous dykes seen earlier; it has epidote spots which are probably amygdules, no phenos unless the epidote spots are altered phenos, and some chalco blebs in the groundmass and with the epidote amygdules. This dyke might have been formed earlier or relatively syn-volcanic. There doesn't appear to be definite chill margins and the contact at the top doesn't look very sharp. Mod mag throughout.",354.3,355.3,PRO,3,Act+chl+ep,354.3,355.3,0.5,0.75,0
AXE-23-001,355.3,392.25,AND,AND,VCB,FMG,XEN,,,"light-med grey to green volcanoclastic breccia. This unit is the same as the one above the dyke. Around ~362m the rock stop being so broken and starts being much more competent; the biggest change around this area is it occurs right when gypsum vns start appearing so could be related. Some sections have clasts that are quite rounded and packed, almost looks like conglomerate.",355.3,365,PRO,3,Act+chl+/-ep,355.3,362.55,2,0.1,0
,,,,,,,,,,,365,392.25,PHY,3,Py+ser+qtz,362.55,392.25,2.5,0.2,0
AXE-23-001,392.25,393.55,AND,AND,DYK,FG,AMG,CHL,POR,"med grey andesite dyke. Fine-grained, amygdules filled with cal, some small 1mm phenos of act altered hornblende. Wk-mod magnetic",392.25,393.55,PRO,3,Act+chl,392.25,393.55,0.1,0,0
AXE-23-001,393.55,423.95,AND,AND,VCB,FMG,XEN,,,"med-dark grey to green volcanoclastic breccia. This unit is the same as the one above the dyke. Some sections once again have clasts that are quite rounded and packed, almost looks like conglomerate. There is another small dyke that looks identical to the one above this unit at 395.7-396.05cm.",393.55,423.95,PRO,3,Act+chl+ep,393.55,423.95,1.25,0.15,0
AXE-23-001,423.95,425,AND,AND,DYK,FG,XEN,CHL,POR,"med grey andesite dyke. Fine-grained, chill margins and some clasts incorporated at the edges. The clasts have a distorted/layered looking chill halo. ~2mm size phenos of hornblende are altered by act and hem. Wk-mod magnetism.",423.95,425,PRO,2,Act+chl,423.95,425,0,0,0
AXE-23-001,425,461.75,AND,AND,VCB,FMG,XEN,,,med-dark grey-green volcanoclastic andesite. Same rock unit as above the andesite dyke. There seem to be more alternating light and dark patches going down suggesting possible bi-modal volcanism.,425,461.75,PRO,2,Act+chl+/-ep,425,461.75,1.2,0.3,0
AXE-23-001,461.75,462.6,AND,AND,DYK,FG,POR,AMG,CHL,"med grey andesite dyke. Fine grained, amydules filled with cal and some with hem blebs, chill margins at the top and bottom. Some darker spots that are probably hornblende phenos that have been altered with act and hem, look poorly formed. Bottom contact is at 44 dtca",461.75,462.6,PRO,2,Act+chl,461.75,462.6,0.1,0,0
AXE-23-001,462.6,467.24,AND,AND,VCB,FMG,XEN,,,med-dark grey-green volcanoclastic andesite. Same rock unit as above the andesite dyke. There are a couple small andesite dyklets up to 4cm wide cutiing through.,462.6,467.24,PRO,3,Act+chl+ep,462.6,467.24,2.25,0.3,0
AXE-23-001,467.24,470.88,AND,AND,DYK,FG,CHL,AMG,,"med grey andesite dyke. Fine grained and cal filled amygdules. No phenos in this dyke, unlike the others. Chilled margins. Wk-mod magnetism.",467.24,470.88,PRO,2,Act+chl,467.24,470.88,0.1,0,0
AXE-23-001,470.88,523.93,AND,AND,VCB,FMG,XEN,,,"med-dark grey-green volcanoclastic andesite. Same rock unit as above the andesite dyke. There is a section where there are no clasts in the rock and the grainsize starts alternating between fine and medium grained from 483.03-489.67m. This section doesn't look like a typical dyke as it lacks chill margins, the contacts seem more gradational, and the grainsize changes throughout the interval, so is probably a syn-subvolcanic phase of the same unit. Bottom of unit is still volcanoclastic but seems to gradationally have less clasts in the last couple metres",470.88,483.03,PRO,3,Act+chl+ep,470.88,483.03,3.25,0.25,0
,,,,,,,,,,,483.03,489.67,PRO,4,Act+chl+ep,483.03,489.67,0.5,0,0
,,,,,,,,,,,489.67,523.93,PHY,4,Py+ser+qtz,489.67,511.3,4.2,0.3,0
AXE-23-001,523.93,531.75,AND,AND,SVI,FMG,POR,,,"med grey and green spotted porphyritic andesite. Fine-med grained with a fine groundmass and med grained phenos of hornblende up to 3mm in size. Ep is speckled throughout groundmass, possibly many replacing phenos. Small possible andesite dyke cutting through the rock at 525.96-526.68m that is darker and fine grained with smaller phenos, could be syn-volcanic.",523.93,531.75,PRO,3,Act+chl+ep,523.93,531.75,0.5,0,0
AXE-23-001,531.75,557.94,AND,AND,VCB,FMG,XEN,POR,,"med-dark grey and red volcanoclastic andesite. Looks similar to the other volcanoclastics above; sub-rounded to rounded clasts that look like conglomerate in a fine grained andesite matrix, polymictic clasts. Many clasts are reddish from hem alt and/or may have pot alt.",531.75,557.94,PRO,4,Act+chl+ep,531.75,557.94,0.5,0.1,0
AXE-23-001,557.94,560.76,AND,AND,DYK,FG,MEL,POR,,"dark grey andesite dyke. Fine grained, no obvious chill margins. Some small hornblende phenos in groundmass up to 1mm.",557.94,560.76,PRO,4,Act+chl+ep,557.94,560.76,0.1,0.35,0
AXE-23-001,560.76,588.22,AND,AND,VCB,FMG,XEN,POR,,med grey to red volcanoclastic andesite. Same as the rock type above the dyke.,560.76,588.21,PRO,4,Act+chl+ep,560.76,588.21,2.2,0.1,0
,,,,,,,,,,,588.21,589.35,PRO,2,Chl+act,,,,,
AXE-23-001,588.22,589.35,AND,AND,DYK,FG,XEN,CHL,AMG,"light grey-red andesite dyke. Fine grained, porphyritic, cal filled amygdules. One large xenolith 5cm in size. Chilled marging at the edges. Bottom contact is at 39 dtca",,,,,,588.21,596,0.25,0,0
AXE-23-001,589.35,596,AND,AND,VCB,FMG,XEN,POR,,"same volcanoclastic andesite as above dyke, the colour is more red from hem alt. Another small dyklet that looks relatively the same as the one above is going through the unit at 592.11-592.8m.",589.35,596,ARG,2,Clay+hem,,,,,
AXE-23-001,596,599.23,AND,AND,DYK,FG,POR,AMG,,"med-dark grey andesite dyke. Up to 2mm Hornblende phenos, cal filled amygdules, no obvious chill margins.",596,599.23,PRO,2,Chl+act,596,602.65,0.4,0,0
