,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-011,133.45,140.9,DIO,DIO,INT,MG,POR,XEN,,"light grey-green diorite. Med grained, phenos of acicular hornblende and plag throughout. Skarn alt has mostly dissapeared with no mag and much less ep (still patchy throughout), ser alt now dominates. Minor small clasts see. Starting at 136.6m to the bottom of the unit there looks to be shearing on and off leading into the next unit.   There is also also a small andesite dyklet from 140.57-140.77m. This andesite dyklet is fine grained and med grey, slightly magnetic, and has amydules filled with cal. This dyklet probably formed along the weak plane of the shearing/flting.",133.45,137.95,SCC,3,"ser, sil, qtz",133.45,137.95,0.2,0.1,0
,,,,,,,,,,,137.95,140.57,PHY,6,"py, sil, ser,",137.95,140,0.1,0,0
,,,,,,,,,,,140.57,140.77,PRO,2,"act, chl",,,,,
AXE-23-011,140.9,156.95,DIO,DIO,VCB,FMG,XEN,POR,,"med grey-green volcanoclastic diorite. Rock is heavily broken and strongly skarn altered making it difficult to see textures clearly, but it looks similar to the other VCL dio above and some fragments look to have clasts in them. Some spotty texture which could be the remains of dio phenos/crystals. Mod-str pchy magnetism throughout.",140.77,143,PRO,4,"act, chl, ep",141,156.95,0.5,0,0
,,,,,,,,,,,143,156.96,SKN,3,"ep, act, mag, grt",,,,,
AXE-23-011,156.95,158.55,MM,MM,FLT,FG,MEL,,,"black massive magnetite skarn aletered rock. All protolith replaced by mag ep and ccp/py. One section at 157.6-157.75m has lots of cpy in undulating/deformed layers looking like it's discontinuously filling fractures, so this could be sheared and/or flted.",156.96,158.55,SKN,7,"mag, ep, act, py, ccp",156.95,158.55,5,15,0
AXE-23-011,158.55,165.5,DIO,DIO,VCB,FMG,XEN,POR,,dark grey-green volcanoclastic diorite. Interval is quite chaotic and broken having some short pieces of what looks like the massive mag and is strongly skarn altered throughout. Looks faily similar to the other dio VCL units before. High ccp associated with the mass mag spots.  Wk-str magnetism in patches.,158.55,165.5,SKN,6,"ep, act, mag",158.55,165.5,0.5,0.7,0
AXE-23-011,165.5,167.22,MM,MM,,FG,MEL,,,"black massive magnetite skarn altered rock. All protolith has been replaced by mag, act, ep and ccp/py. The drill run that this unit lies in had very low recovery, so the start of the unit is an estimate. The rock that remains is not too broken up like the previous mass mag unit.",165.5,167.22,SKN,7,"mag, ep, ccp, py",165.5,167.22,0,20,0
AXE-23-011,167.22,171.4,AND,AND,DYK,FG,CHL,POR,AMG,"med-dark grey andesite dyke. Slight chill margins with finer grains and less phenos at top and bottom. Phenos of hornblende throughout up to 0.35cm, slightly acicular. Amygdules of cal throughout. Top contact is ~23 dtca",167.22,171.4,PRO,3,"act, chl, mag",167.22,171.4,0.1,0,0
AXE-23-011,171.4,179.35,MM,MM,,FG,MEL,,,"black massive mag skarn altered rock. All protolith has been replaced by mag, ep, act, and ccp/py. Quite broken and rubbly in spots. Top and bottom contacts are estimated as there is loss and rubble at the start and end.",171.4,179.35,SKN,7,"map, ep, act, ccp, py",171.4,179.35,2,17,0
AXE-23-011,179.35,193.5,DIO,DIO,VCB,FMG,XEN,MEL,POR,"dark grey-green volcanoclastic diorite. Looks similar to the other VCL dios above, most of texture is hard to see due to str skarn alt and broken rock fragments. Looks like some polymictic gravelly clasts with some up to a couple cms in size. Some phenos remain as light and dark greens. Some spots have more mag and look sheared with high ccp like at 191.2-191.35m.",179.35,186.5,PHY,4,"ser, py, sil",179.35,186.5,0.5,0.1,0
,,,,,,,,,,,186.5,193.5,PHY,4,"ser, py, sil",186.5,191.2,0.5,0.2,0
AXE-23-011,193.5,198.05,MM,MM,FLT,FG,MEL,,,"black massive magnetite skarn altered rock. All of protolith has been replaced by mag, act, ep, and ccp/py. Most of unit is rubbly and looks like gouge, so probably was flted. Top and bottom contacts are estimates because of loss and rubble.",193.5,198.05,SKN,7,"mag, ep, act",193.5,198.05,0,20,0
AXE-23-011,198.05,200,FBX,FBX,FLT,FG,XEN,,,med-dark grey fault gouge. This interval is composed of mostly clay and rubble gouge with some rock fragments. Some of it looks like it is derived from the andesite dyke below while some is black and full of magnetite like the unit above. There is possibly a third rock type in it as one or more of the fragments looks closer to a mineralized andesite or diorite rock. Alteration looks mostly prop except the mag skarn spots.,198.05,200,PHY,5,"ser, py",198.05,200,0.2,1,0
AXE-23-011,200,206,AND,AND,DYK,FG,CHL,POR,AMG,"med grey andesite dyke. Looks very similar to the previous andesite dyke seen up-hole. Fine grained with ~2mm hornblende phenos, cal amygdules, prop alt. some spots with gouge and flting. Probable chill margins at the start and end even though they are slightly rubbly and unclear exactly where the unit starts and ends.",200,206,PRO,2,"act, chl",200,206,0.1,0,0
AXE-23-011,206,209,AND,AND,VCB,FG,XEN,MEL,,"dark grey brecciated andesite. This unit is quite broken up with some gouge, sitting between two andesite dykes. There looks to be some spots that look like it could be pieces of the andesite dyke material or it could have been a small dyklet in the interval. Most texture is hard to see due to being broken and being quite dark, but some boundaries to clasts are visible, looking more like brecciated (fault breccia?) than volcanoclastic. Some sulphides visible in groundmass. Wk-mod magnetism throughout.",206,209,PHY,4,"ser, py, sil",206,209,1,0.1,0
AXE-23-011,209,212,AND,AND,DYK,FG,POR,AMG,CHL,med grey andesite dyke. Looks the same as the other andesite dyke above. There is lots of core loss (only ~1.4m recovery for this run) so the actual start and end are unknown. The start and end have slightly less phenos and look finer grained so are probably chill margins.,209,212,PRO,2,,209,212,0.1,0,0
AXE-23-011,212,218,AND,AND,FLT,FG,XEN,,,"med grey brecciated/faulted andesite. Unit is very broken with some gouge and some rock that looks sheared, low recoveries again so actual start and end of unit could be different. The rock that is intact looks like fine-grained andesite that is broken up, so could be brecciated andesite. The phyllic alt is masking much of the texture making texture hard to see. Pchy wk magnetism throughout.",212,218,PHY,5,"ser, py, sil",212,218,1,0,0
AXE-23-011,218,309.48,AND,AND,VCB,FMG,XEN,,,"med grey-green volcanoclastic andesite. Rock is composed of a matrix of fine grained andesite suspending sub-rounded clasts of multiple lithologies. Some of the rock types seen include diorites both dark and light coloured, andesites, black magnetite rich rock (mass mag?) and possible rhyolite. Clast size is up to 10cms, possibly larger. Alt looks to be wk prop with some overprinting of possible phyl and/or argillic bleaching the rock slightly. Some of matrix is fine grained while some looks slightly microdioritic (could be clasts as well, difficult to see with broken rock). Some small sections have less clasts and are fine grained, possible ""quiet"" volcanic period.  Patches of magnetism in spots due to magnetic clasts",218,309.48,PHY,4,"py, sil",218,309.48,0.5,0.1,0
AXE-23-011,309.48,372.33,AND,AND,VCB,FMG,XEN,POR,,"This unit looks basically the same as the above volcanoclastic andesite but is more competent stick rock with more silicification and the introduction of gypsum veins. Matrix still looks mostly like andesite with some spots looking like microdiorite. Some sections have less clasts and look like just andesite that may have some stratification (colour slightly changing in layers). Some clasts are magnetic, some pchy magnetism in andesite groundmass. Past 342.90m there is an increase in veining including many brecciating gyp/qtz/py vns. The alteration also seems to look more phyllic in this zone.",309.48,342.9,PRO,3,"act, chl, ep",309.48,342.9,0.5,0.1,0
,,,,,,,,,,,342.9,372.33,PHY,6,"ser, py, sil",342.9,372.33,8,0.4,0
AXE-23-011,372.33,375,AND,AND,DYK,FG,CHL,AMG,POR,"med grey-green andesite dyke. Some 1mm hornblende phenos, small cal amygdules, chill margins. Slightly prop altered. This unit does not have the brecciated vns like above and below, but there is one of what looks like the hbx vns near the bottom which could be a piece of the host rock or one that came through. Weakly magnetic throughout. The groundmass is very rich in carbonate as it all fizes with HCl. The unit below this (VCL and) has a few small dyklets of this same comp at the top.",372.33,375,PRO,2,,372.33,374.8,0.1,0,0
AXE-23-011,375,462.37,AND,AND,VCB,FMG,XEN,POR,,"The same volcanoclastic andesite as above the andesite dyke. A few small andesite dyklets of the same comp as the one above are in the first few metres, no bigger than ~20cm.",375,392,PHY,6,,374.8,380.47,5,0.1,0
,,,,,,,,,,,392,462.37,PHY,6,,380.47,462.37,5,0.1,0
AXE-23-011,462.37,464,AND,AND,DYK,FG,CHL,AMG,POR,"med grey-green andesite dyke. Looks similar to the previous and dyke. Hem and act altered hornblende phenos, chill margins, small cal amygdules. From ~463-464.28 the dyke is nearly parallel to core axis or there is a large clast of the VCL host rock.",462.37,464,PRO,2,"act, chl",462.37,464,0.4,0.2,0
AXE-23-011,464,465.85,AND,AND,VCB,FMG,XEN,POR,,"med-dark grey volcanoclastic andesite. Same as the unit above the andesite dyke, just cut by a few dykes.",464,465.85,PHY,6,"sil, py, ser",464,465.85,2,0.7,0
AXE-23-011,465.85,468.26,AND,AND,DYK,FG,CHL,POR,AMG,med grey-green andesite. Looks identical to the previous andesite dyke.,465.85,468.26,PRO,2,,465.85,468.26,0.1,0,0
AXE-23-011,468.26,476.44,AND,AND,VCB,FMG,XEN,POR,,This is the same VCL andesite that is cut by dykes.,468.26,476.44,PHY,6,"sil, py, ser",468.26,476.44,2,0.1,0
AXE-23-011,476.44,480.3,AND,AND,DYK,FG,CHL,AMG,POR,another of the same andesite dyke cutting the and VCL.,476.44,480.3,PRO,2,,476.44,480.3,0.1,0,0
AXE-23-011,480.3,480.79,AND,AND,VCB,FMG,XEN,POR,,same and VCL that was above the dyke,480.3,480.79,PHY,6,,,,,,
AXE-23-011,480.79,482.79,AND,AND,DYK,FG,CHL,AMG,POR,same andesite dyke again cutting through the VCL and.,480.79,482.79,PRO,2,,480.79,482.79,0,0,0
AXE-23-011,482.79,509.54,AND,AND,VCB,FMG,XEN,POR,,Same VCL andesite as above the dyke again.,482.79,509.54,PHY,6,,482.79,509.54,0,0,0
AXE-23-011,509.54,511.75,AND,AND,DYK,FG,CHL,POR,,med grey-green andesite dyke. Hem and act altered hornblende phenos. From ~510-510.94  the dyke shows diorite intrusion lithology. Diorite intrusion shows disseminated mineralization (Ccp and Py),509.54,511.75,PRO,2,,509.54,511.75,0,0,0
AXE-23-011,511.75,516,DIO,DIO,INT,FMG,,,,"light grey to light green, fg-mg, weakly prop to phyllic alt diorite.  Alt assemblage (chl>>epi>ser>mag+py)",511.75,516,PRO,4,"chl, ep",511.75,516,0.3,0.01,0
AXE-23-011,516,521.32,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others. The presence of these different types of clasts gives the rock a visually striking and varied appearance. Some clasts are replaced by pyrite (py) and chlorite (ccp), while actinolite is replaced by magnetite. Moderate propylitic alteration, with actinolite/chlorite and sericite, is present in the groundmass of the andesite and in some clasts. Weak pervasive hematization is evident in some clasts. Weak to moderately strong magnetite alteration is observed in patches, possibly due to the presence of magnetite in the clasts. Additionally, weak to moderately strong epidote alteration is scattered in patches throughout the groundmass.",516,521.32,PRO,4,"act, chl, ep",516,521.32,0.15,0.01,0
AXE-23-011,521.32,527.4,AND,AND,DYK,FG,CHL,POR,,med grey-green andesite dyke. Hem and act altered hornblende phenos.,521.32,527.4,PRO,2,"act, chl",521.32,527.4,0,0,0
AXE-23-011,527.4,531.85,DIO,DIO,INT,FMG,,,,"light grey to light green, fg-mg, weakly prop to phyllic alt microdiorite.  Alt assemblage (chl>ep>Sericite>Hem)",527.4,531.84,PRO,4,"chl, ep",527.4,531.85,0,0,0
,,,,,,,,,,,531.84,533.11,PRO,5,"chl, ep",,,,,
AXE-23-011,531.85,533.11,AND,AND,VCB,MCG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. Similar to the last interval. The predominant alteration is propylitic. Chlorite and epidote are pervasive distributed in the interval. Hematite is distributed in patchy form.",,,,,,531.85,533.11,3,0.05,0
AXE-23-011,533.11,544.14,AND,AND,DYK,FG,CHL,POR,,med grey-green andesite dyke. Hem and act altered hornblende phenos.,533.11,544.14,PRO,2,"act, chl",533.11,544.14,0,0,0
AXE-23-011,544.14,550.6,AND,AND,VCB,MCG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. Similar to the last interval. The predominant alteration is propylitic. Chlorite and epidote are pervasive distributed in the interval. Hematite is distributed in patchy form.",544.14,550.6,PRO,4,chl,544.14,550.6,2,0.05,0
AXE-23-011,550.6,553.16,AND,AND,DYK,FG,CHL,POR,,med grey-green andesite dyke. Hem and act altered hornblende phenos.,550.6,553.16,PRO,2,"act, chl",550.6,553.16,0,0,0
AXE-23-011,553.16,574.62,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The predominant alteration is Phyllic. The predominant veins in the interval are calcite and gypsum. Pyrite (Py) and chalcopyrite (CCp) are present in bleb forms. The chalcopyrite (CCp) is common in the Hbx zone (magnetite).",553.16,574.62,PHY,5,ser,553.16,574.62,0.9,0.2,0
AXE-23-011,574.62,579.08,DIO,DIO,INT,FMG,,,,"light grey to light green, fg-mg, weakly prop to phyllic alt microdiorite.  Alt assemblage (chl>ep>Sericite>Hem)",574.62,579.08,PRO,4,chl,574.62,579.08,0,0,0
AXE-23-011,579.08,599.63,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The predominant alteration is Propylitic. The predominant veins in the interval are calcite and gypsum. Pyrite (Py) and chalcopyrite (CCp) are present in bleb forms. The chalcopyrite (CCp) is common in the Hbx zone (magnetite).",579.08,599.63,PRO,4,"act, chl",579.08,599.63,0.9,0.2,0
AXE-23-011,599.63,609.34,DIO,DIO,INT,FMG,XEN,,,"light grey to light green, fg-mg, weakly prop to phyllic alt microdiorite.  Alt assemblage (chl>ep>Sericite>Hem). Calcite and epidote veins are predominant in the interval. Some clasts are observed with replacement of pyrite (Py) and chalcopyrite (CCp).",599.63,609.34,PRO,4,"chl, ep",599.63,609.34,0.07,0.02,0
AXE-23-011,609.34,614.99,AND,AND,DYK,FG,,,,Med-dark grey andesite dike. Amygdules of calcite throughout. Weak propylitic alteration. Disseminated Py is observed.,609.34,614.99,PRO,2,chl,609.34,614.99,0.05,0,0
AXE-23-011,614.99,665.5,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. 614.99-626.46 Moderate propylitic alteration. Some parts show moderate to strong silification. Hematite and magnetite are distributed in patchy forms. 626.46-641.23 Moderate to strong phyllic alteration, some sericite. Weak to moderate chlorite alteration has been overprint by phyllic alteration.  630.59-632.00 Shows an intense phyllic alteration. 641.23-646.22 Weak to moderate potassic alteration. Propylitic alteration has been overprinted by potassic alteration. Clasts have been overprinted by hematite and magnetite. 646.22-665.5  Some parts of the interval look like andesite vcl and others like microdiorite vcl, but the interval still shows some subrounded clasts with different sizes.Moderate propylitic alteration. Clorite is distributed in pervasive form while epidote in veins and patch form. Some clasts are observed with replacement of hematite and mag. 634.80 py>propilitic minerals>cal vein. Disseminated and few blebs of Ccp are observed.",614.99,626.46,PRO,4,,614.99,665.5,0.8,0.12,0
,,,,,,,,,,,626.46,641.23,PHY,5,ser,,,,,
,,,,,,,,,,,641.23,646.22,POT,3,mag,,,,,
,,,,,,,,,,,646.22,665.5,PRO,4,"chl, ep",,,,,
AXE-23-011,665.5,683.89,AND,AND,VCB,CG,XEN,POR,,Grey-red volcanic breccia with andesite matrix support? Subround-subangular clasts. 665.5-671 Moderate potassic alteration.671-683.89. Weak to moderate propylitic alteration. Calcite  veins are predominant in this interval. 670.40 py>propilitic minerals>cal>ccp vein.The interval shows chalcopyrite in a disseminate form and blebs.,665.5,671,POT,4,,665.5,683.89,1,0.3,0
,,,,,,,,,,,671,683.89,PRO,3,"chl, ep",,,,,
AXE-23-011,683.89,688.09,DIO,DIO,INT,FG,XEN,,,"light grey to light green, fg-mg, weakly prop to phyllic alt microdiorite.  Alt assemblage (chl>ep>Sericite). Calcite and epidote veins are predominant in this interval.",683.89,688.09,PRO,4,"chl, ep",683.89,688.09,0,0,0
AXE-23-011,688.09,693.35,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts.The predominant alteration is Propylitic. Some disseminated Py and Ccp were identified.",688.09,693.35,PRO,4,,688.09,693.35,0.5,0.05,0
AXE-23-011,693.35,695.33,AND,AND,DYK,FG,,,,Med-dark grey andesite dike. Amygdules of calcite throughout. Weak propylitic alteration.,693.35,695.33,PRO,2,,693.35,695.33,0,0,0
AXE-23-011,695.33,696.62,AND,AND,VCB,CG,XEN,POR,,"Variegated green volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts.The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others.  Moderate to strong phyllic alteration. Weak to moderate chlorite alteration has been overprint by phyllic alteration.  Some disseminated Py and Ccp were identified.",695.33,696.62,PHY,5,,695.33,696.62,0.7,0.1,0
AXE-23-011,696.62,698.42,AND,AND,DYK,FG,,,,Med grey andesite dike. Amygdules of calcite throughout. Weak-moderate propylitic alteration. Calcite veins are predominant in this interval.,696.62,698.42,PRO,3,,696.62,698.42,0,0,0
AXE-23-011,698.42,730.22,AND,AND,VCB,FG,XEN,POR,,"Variegated grey-pink volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts.The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others. 698.42-701.29 Weak-moderate propylitic alteration has been overprinted by weak Phyllic alteration. The magnetite can be observed in the form of patches. 701.29-730.22 Weak-Moderate propylitic alteration has been overpritn by potssic alteration.Potassic alteration begins with clast replacement at the top of the interval, and the end of the interval can be observed overlying the matrix. The potassic alteration is more intense near the contact with the diorite. Silification alteration es more intense t the bottor of th einterval. The magnetite can be observed in the form of patches. Calcite veins are predominant in this interval. HBX vns are mostly gyp and anh, 15% Ccp, 5% Py, 15% ep, 15% qz. Disseminated Py and Ccp are observed throughout the interval.",698.42,701.29,PRO,3,,698.42,730.22,1,0.2,0
,,,,,,,,,,,701.29,730.22,POT,4,mag,,,,,
AXE-23-011,730.22,731.85,DIO,DIO,INT,FG,XEN,,,"light grey to light green, fg-mg, moderate prop to phyllic alt microdiorite.  Alt assemblage (chl>ep>Sericite). Calcite and epidote veins are predominant in this interval.",730.22,731.85,PRO,4,"chl, ep",730.22,731.85,0,0,0
AXE-23-011,731.85,733.64,AND,AND,DYK,FG,,,,Med grey andesite dike. Weak propylitic alteration. Calcite veins are predominant in this interval.,731.85,733.64,PRO,2,,731.85,733.64,0,0,0
AXE-23-011,733.64,750.48,DIO,DIO,INT,FMG,XEN,,,"light grey to light green, fg-mg, moderate prop to phyllic alt diorite.  Alt assemblage (chl>ep>Sericite).  Epidote veins are predominant in this interval. Calcite veins are most abundant towards the bottom of the interval. 748.70 vein Cal>Ccp>Py> prop minerals is observed.",733.64,750.48,PRO,4,"chl, ep",733.64,750.48,0.3,0.07,0
AXE-23-011,750.48,751.86,AND,AND,DYK,FG,,,,Med grey andesite dike. Amygdules of calcite throughout. Weak propylitic alteration. Calcite veins are predominant in this interval.,750.48,751.86,PRO,2,,750.48,751.86,0,0,0
AXE-23-011,751.86,765.41,DIO,DIO,INT,FMG,XEN,,,"light grey to light green, fg-mg, moderate prop to phyllic alt diorite.  Alt assemblage (chl>ep>Sericite).  Epidote veins are predominant in this interval. The presence of a potassic halo is observed in some epidote veins. 763.45-763.68 veins Cal>Py>Chl>Ccp are observed.",751.86,765.41,PRO,4,"chl, ep",751.86,765.41,0.8,0.02,0
AXE-23-011,765.41,769.02,AND,AND,DYK,FG,,,,Med grey andesite dike. Amygdules of calcite throughout. Weak propylitic alteration. Calcite veins are predominant in this interval.,765.41,769.02,PRO,3,,765.41,769.02,0,0,0
AXE-23-011,769.02,781.01,DIO,DIO,INT,FMG,XEN,,,"light grey to light green, fg-mg, moderate prop to phyllic alt diorite. The final part of the interval displays an alternation of small andesite (779.71-780.00) and monzonite (780.73-781.01) dikes. Alt assemblage (chl>ep>Sericite).  The presence of a potassic halo is observed in some epidote veins.  Veins Cal>Py>Ep>Ccp are observed. Blebs Py is observed throughout the interval.",769.02,781.01,PRO,4,"chl, ep",769.02,781.01,1,0,0
AXE-23-011,781.01,781.93,AND,AND,DYK,FG,,,,Med grey andesite dike.  Weak propylitic alteration. Calcite veins are predominant in this interval.,781.01,781.93,PRO,2,,781.01,781.93,0,0,0
AXE-23-011,781.93,786.13,MZN,MZN,DYK,FMG,,,,Pink-grey Monzonite  dyke.  The final part of the interval shows an alternation of small andesitic dykes. Weak-moderate propylitic alteration has been overprinted by Moderate-strong potassic alteration.  Magnetite is distributed like patchy.   Veins Cal>Py>Ep>Ccp are observed. Blebs Py is observed throughout the interval.,781.93,786.13,POT,5,mag,781.93,786.13,0.4,0,0
AXE-23-011,786.13,791.25,DIO,DIO,INT,FMG,,,,"light grey to light green, fg-mg, moderate prop to phyllic alt diorite.  Alt assemblage (chl>ep>Sericite).  The presence of a potassic halo is observed in some epidote veins.  Veins Cal>Py>Ep>Ccp are observed. Blebs Py is observed throughout the interval.",786.13,791.25,PRO,3,"chl, ep",786.13,791.25,0,0,0
AXE-23-011,791.25,818.17,MZN,MZN,DYK,FMG,,,,"Pink-grey Monzonite  dyke. Weak-moderate propylitic alteration has been overprinted by Moderate potassic alteration. At the base of the interval, the potassium alteration changes weakly - trace, and the weak propylitic alteration is dominant.  Magnetite is distributed like patchy.  Veins Cal>Py>Ep>Ccp are observed. Blebs Py is observed throughout the interval. A few disseminated Ccp is observed.",791.25,818.17,POT,4,"mag,",791.25,818.17,0.7,0.03,0
AXE-23-011,818.17,861.28,AND,AND,VCB,CG,XEN,POR,,"Variegated grey-green polymictic volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others. 818.17-829.15 Weak-moderate propylitic alteration has been overprinted by weak silification.  Shear zone (828.74- 829.15). After the shear zone, it begins with a very fine-grained andesite, gradually transitioning into the same polymictic volcaniclastic as the previous interval.  829.15-861.28 weak propylitic alteration has been overprinted by moderate Phyllic alteration. Weak potassic alteration is observed in some clasts and pervasive in the matrix.  Calcite veins are predominant in this interval. Veins Cl>Py>Ca are observed. Py and Ccp are observed in bleb and disseminated forms.",818.17,829.15,PRO,3,,818.17,861.28,1,0.25,0
,,,,,,,,,,,829.15,861.28,PHY,3,,,,,,
AXE-23-011,861.28,862.11,AND,AND,DYK,FG,POR,,,Med grey andesite dike. Weak propylitic alteration. Calcite veins are predominant in this interval.,861.28,862.11,PRO,2,,861.28,862.11,0,0,0
AXE-23-011,862.11,902.67,AND,AND,VCB,CG,XEN,POR,,"Variegated grey-green polymictic volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts.The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others.   Shear zone (863- 863.61 m). 870.70-871m Andesite dyke high magnetite content and some Ccp.  Weak propylitic alteration has been overprinted by moderate-strong phyllic alteration. Moderate silicification alteration is observed, especially in the breccia? zone. Weak potassic alteration is observed in the volcanoclastic zone. The HBx zones (865.75- 876.60m, 877.25-900.46m)  show a sulfide matrix with 12% Py, 3% CCp and .01%  Mo.  Mo becomes visible at a depth of 872.80 meters, and beyond that point, the occurrence of Ccp blebs becomes more frequent.",862.11,902.67,PHY,5,sil,862.11,902.67,3,0,0
AXE-23-011,902.67,911.43,DIO,DIO,INT,FG,,,,"light grey to light green, fg-mg, moderate prop to phyllic alt diorite. Small dykes (<30 cm) of andesite are interbedded in the diorite.   Weak-moderate propylitic alteration has been overprint by weak phyllic alteration. Chlorite and epidote are distributed in pervasive form. Magnetite is distributed like patchy. Calcite and Epidote veins are predominant in this interval. Py and Ccp are observed in disseminated form.",902.67,911.43,PRO,3,"chl, ep",902.67,911.43,0.5,0.07,0
AXE-23-011,911.43,913.42,AND,AND,DYK,FG,,,,Med grey andesite-microdiorite dike Fg. Amygdules of calcite throughout. Weak propylitic alteration. Calcite veins are predominant in this interval.,911.43,913.42,PRO,2,,911.43,913.42,0,0,0
AXE-23-011,913.42,919.53,DIO,DIO,INT,FMG,,,,light grey to light green diorite. 913.42 -914.96m weak-moderate propylitic alteration has been overprint by the moderate-strong potassic alteration. Primary alteration observed as chl>epi>ser with mottled kspar alteration migrating from the veins. From 914.96-917m Weak-moderate propylitic alteration has been overprint by weak phyllic alteration. Chlorite and epidote are distributed in pervasive form. Magnetite is distributed like patchy. Calcite and Epidote veins are predominant in this interval. Py and Ccp are observed in disseminated form.,913.42,914.96,POT,5,,913.42,919.53,0.5,0.05,0
,,,,,,,,,,,914.96,919.53,PRO,3,"chl, ep",,,,,
AXE-23-011,919.53,957.63,AND,AND,VCB,CG,XEN,POR,,"Variegated grey-green polymictic volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others. (919.53-931.87m) Weak propylitic alteration has been overprinted by moderate phyllic alteration. Also, the interval shows moderate-strong silicification. (931.87-935.31m) Weak-moderate propylitic alteration. Sericite and Magnetite alteration are observed as replacement minerals inside the clasts. (935.31-947m) Weak propylitic alteration has been overprinted by moderate phyllic alteration. Also, the interval shows moderate-strong silicification. Calcite veins are predominant in this interval. Qz>Chl>Py>Ccp  veins were observed. Py was seen in the form of blebs, and Ccp was disseminated.",919.53,931.87,PHY,5,sil,919.53,957.63,0.6,0.06,0
,,,,,,,,,,,931.87,935.31,PRO,3,,,,,,
,,,,,,,,,,,935.31,957.63,PRO,2,,,,,,
AXE-23-011,957.63,958.69,AND,AND,DYK,FG,,,,Med-dark grey andesite dike Fg. Weak-Moderate propylitic alteration has been overprint by weak-moderate pervasive magnetite alteration.,957.63,958.69,PRO,3,,957.63,958.69,0,0,0
AXE-23-011,958.69,1031,AND,AND,VCB,CG,XEN,POR,,"Variegated grey-green polymictic volcaniclastic andesite, exhibiting a chaotic arrangement of diverse lithic clasts. The majority of these clasts are sub-rounded and could potentially contain various compositions, such as andesite, diorite, rhyolite, monzonite, and possibly others. 958.69-1020.06 Moderate propylitic alteration. Magnetite is found in both pervasive and patchy forms. Sericite and potassic  alteration are observed as replacement minerals inside the clasts. 1020.06-1031 Weak propylitic alteration has been overprint by moderate-strong phyllic alteration. The magnetite is observed in the form of patches. Pyrite is observed in bleb forms. The presence of pyrite increases in phyllic alteration. Hold completed 1031m EOH.",958.69,1020.06,PRO,4,,958.69,1031,0.5,0,0
,,,,,,,,,,,1020.06,1031,PHY,5,,,,,,
AXE-23-012,0,9,CAS,CAS,NC,,,,,casing 9,,,,,,,,,,
